toxin_type,toxin_label,province,measured,detected,detection_rate,mean_positive_concentration_ug_kg,max_positive_concentration_ug_kg
AFG2,Aflatoxin G2,Takhmao,3,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Ubon Ratchathani,43,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Yala,4,0,0.0,0.0,0.0
AFG2,Aflatoxin G2,Yasothon,20,0,0.0,0.0,0.0
ALT,Alternariol,Unspecified area,48,6,0.125,2.256667,4.33
ALT,Alternariol,Amnart Charoen,15,0,0.0,0.0,0.0
ALT,Alternariol,Bangkok,1,0,0.0,0.0,0.0
ALT,Alternariol,Chaiyaphum,1,0,0.0,0.0,0.0
ALT,Alternariol,Chiang Mai,86,0,0.0,0.0,0.0
ALT,Alternariol,Chiang Rai,21,0,0.0,0.0,0.0
ALT,Alternariol,Kalasin,2,0,0.0,0.0,0.0
ALT,Alternariol,Kampong Thom,2,0,0.0,0.0,0.0
ALT,Alternariol,Kampot,1,0,0.0,0.0,0.0
ALT,Alternariol,Lampang,21,0,0.0,0.0,0.0
ALT,Alternariol,Mahasarakham,10,0,0.0,0.0,0.0
ALT,Alternariol,Mukdahan,15,0,0.0,0.0,0.0
ALT,Alternariol,Nakhon Pathom,32,0,0.0,0.0,0.0
ALT,Alternariol,Narathiwat,18,0,0.0,0.0,0.0
ALT,Alternariol,Pathum Thani,6,0,0.0,0.0,0.0
ALT,Alternariol,Pha Yao,17,0,0.0,0.0,0.0
ALT,Alternariol,Phayao,6,0,0.0,0.0,0.0
ALT,Alternariol,Phichit,2,0,0.0,0.0,0.0
ALT,Alternariol,Phnom Phen,4,0,0.0,0.0,0.0
ALT,Alternariol,Roi Et,53,0,0.0,0.0,0.0
ALT,Alternariol,Si Sa Ket,23,0,0.0,0.0,0.0
ALT,Alternariol,Siem Reap,4,0,0.0,0.0,0.0
ALT,Alternariol,Songkhla,13,0,0.0,0.0,0.0
ALT,Alternariol,Suphan Buri,4,0,0.0,0.0,0.0
ALT,Alternariol,Surin,37,0,0.0,0.0,0.0
ALT,Alternariol,Takhmao,3,0,0.0,0.0,0.0
ALT,Alternariol,Ubon Ratchathani,43,0,0.0,0.0,0.0
ALT,Alternariol,Yala,4,0,0.0,0.0,0.0
ALT,Alternariol,Yasothon,20,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Unspecified area,48,15,0.3125,1.418,4.11
AME,Alternariol monomethyl ether,Amnart Charoen,15,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Bangkok,1,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Chaiyaphum,1,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Chiang Mai,86,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Chiang Rai,21,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Kalasin,2,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Kampong Thom,2,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Kampot,1,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Lampang,21,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Mahasarakham,10,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Mukdahan,15,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Nakhon Pathom,32,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Narathiwat,18,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Pathum Thani,6,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Pha Yao,17,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Phayao,6,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Phichit,2,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Phnom Phen,4,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Roi Et,53,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Si Sa Ket,23,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Siem Reap,4,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Songkhla,13,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Suphan Buri,4,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Surin,37,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Takhmao,3,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Ubon Ratchathani,43,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Yala,4,0,0.0,0.0,0.0
AME,Alternariol monomethyl ether,Yasothon,20,0,0.0,0.0,0.0
BEA,Beauvericin,Unspecified area,48,22,0.458333,4.638182,25.04
BEA,Beauvericin,Amnart Charoen,15,0,0.0,0.0,0.0
BEA,Beauvericin,Bangkok,1,0,0.0,0.0,0.0
BEA,Beauvericin,Chaiyaphum,1,0,0.0,0.0,0.0
BEA,Beauvericin,Chiang Mai,86,0,0.0,0.0,0.0
BEA,Beauvericin,Chiang Rai,21,0,0.0,0.0,0.0
BEA,Beauvericin,Kalasin,2,0,0.0,0.0,0.0
BEA,Beauvericin,Kampong Thom,2,0,0.0,0.0,0.0
BEA,Beauvericin,Kampot,1,0,0.0,0.0,0.0
BEA,Beauvericin,Lampang,21,0,0.0,0.0,0.0
BEA,Beauvericin,Mahasarakham,10,0,0.0,0.0,0.0
BEA,Beauvericin,Mukdahan,15,0,0.0,0.0,0.0
BEA,Beauvericin,Nakhon Pathom,32,0,0.0,0.0,0.0
BEA,Beauvericin,Narathiwat,18,0,0.0,0.0,0.0
BEA,Beauvericin,Pathum Thani,6,0,0.0,0.0,0.0
BEA,Beauvericin,Pha Yao,17,0,0.0,0.0,0.0
BEA,Beauvericin,Phayao,6,0,0.0,0.0,0.0
BEA,Beauvericin,Phichit,2,0,0.0,0.0,0.0
BEA,Beauvericin,Phnom Phen,4,0,0.0,0.0,0.0
BEA,Beauvericin,Roi Et,53,0,0.0,0.0,0.0
BEA,Beauvericin,Si Sa Ket,23,0,0.0,0.0,0.0
BEA,Beauvericin,Siem Reap,4,0,0.0,0.0,0.0
BEA,Beauvericin,Songkhla,13,0,0.0,0.0,0.0
BEA,Beauvericin,Suphan Buri,4,0,0.0,0.0,0.0
BEA,Beauvericin,Surin,37,0,0.0,0.0,0.0
BEA,Beauvericin,Takhmao,3,0,0.0,0.0,0.0
BEA,Beauvericin,Ubon Ratchathani,43,0,0.0,0.0,0.0
BEA,Beauvericin,Yala,4,0,0.0,0.0,0.0
BEA,Beauvericin,Yasothon,20,0,0.0,0.0,0.0
CIT,Citrinin,Unspecified area,48,8,0.166667,3.79375,17.04
CIT,Citrinin,Amnart Charoen,15,0,0.0,0.0,0.0
CIT,Citrinin,Bangkok,1,0,0.0,0.0,0.0
CIT,Citrinin,Chaiyaphum,1,0,0.0,0.0,0.0
CIT,Citrinin,Chiang Mai,86,0,0.0,0.0,0.0
CIT,Citrinin,Chiang Rai,21,0,0.0,0.0,0.0
CIT,Citrinin,Kalasin,2,0,0.0,0.0,0.0
CIT,Citrinin,Kampong Thom,2,0,0.0,0.0,0.0
CIT,Citrinin,Kampot,1,0,0.0,0.0,0.0
CIT,Citrinin,Lampang,21,0,0.0,0.0,0.0
CIT,Citrinin,Mahasarakham,10,0,0.0,0.0,0.0
CIT,Citrinin,Mukdahan,15,0,0.0,0.0,0.0
CIT,Citrinin,Nakhon Pathom,32,0,0.0,0.0,0.0
CIT,Citrinin,Narathiwat,18,0,0.0,0.0,0.0
CIT,Citrinin,Pathum Thani,6,0,0.0,0.0,0.0
CIT,Citrinin,Pha Yao,17,0,0.0,0.0,0.0
CIT,Citrinin,Phayao,6,0,0.0,0.0,0.0
CIT,Citrinin,Phichit,2,0,0.0,0.0,0.0
CIT,Citrinin,Phnom Phen,4,0,0.0,0.0,0.0
CIT,Citrinin,Roi Et,53,0,0.0,0.0,0.0
CIT,Citrinin,Si Sa Ket,23,0,0.0,0.0,0.0
CIT,Citrinin,Siem Reap,4,0,0.0,0.0,0.0
CIT,Citrinin,Songkhla,13,0,0.0,0.0,0.0
CIT,Citrinin,Suphan Buri,4,0,0.0,0.0,0.0
CIT,Citrinin,Surin,37,0,0.0,0.0,0.0
CIT,Citrinin,Takhmao,3,0,0.0,0.0,0.0
CIT,Citrinin,Ubon Ratchathani,43,0,0.0,0.0,0.0
CIT,Citrinin,Yala,4,0,0.0,0.0,0.0
CIT,Citrinin,Yasothon,20,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Unspecified area,48,1,0.020833,1.61,1.61
CPA,Cyclopiazonic acid,Amnart Charoen,15,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Bangkok,1,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Chaiyaphum,1,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Chiang Mai,86,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Chiang Rai,21,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Kalasin,2,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Kampong Thom,2,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Kampot,1,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Lampang,21,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Mahasarakham,10,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Mukdahan,15,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Nakhon Pathom,32,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Narathiwat,18,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Pathum Thani,6,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Pha Yao,17,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Phayao,6,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Phichit,2,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Phnom Phen,4,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Roi Et,53,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Si Sa Ket,23,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Siem Reap,4,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Songkhla,13,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Suphan Buri,4,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Surin,37,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Takhmao,3,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Ubon Ratchathani,43,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Yala,4,0,0.0,0.0,0.0
CPA,Cyclopiazonic acid,Yasothon,20,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Amnart Charoen,15,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Bangkok,1,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Chaiyaphum,1,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Chiang Mai,86,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Chiang Rai,21,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Kalasin,2,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Kampong Thom,2,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Kampot,1,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Lampang,21,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Mahasarakham,10,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Mukdahan,15,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Nakhon Pathom,32,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Narathiwat,18,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Pathum Thani,6,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Pha Yao,17,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Phayao,6,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Phichit,2,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Phnom Phen,4,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Roi Et,53,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Si Sa Ket,23,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Siem Reap,4,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Songkhla,13,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Suphan Buri,4,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Surin,37,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Takhmao,3,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Ubon Ratchathani,43,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Unspecified area,48,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Yala,4,0,0.0,0.0,0.0
D3G,Deoxynivalenol-3-glucoside,Yasothon,20,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Unspecified area,48,9,0.1875,2.938889,9.55
DAS,Diacetoxyscirpenol,Amnart Charoen,15,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Bangkok,1,0,0.0,0.0,0.0
DAS,Diacetoxyscirpenol,Chaiyaphum,1,0,0.0,0.0,0.0
